matricula,nome,idade,curso,cidade,uf,cra
20260029,Rafaela Costa,44,Direito,Vicosa,BA,9.24
20260030,Lucas Moreira Silva Moreira,34,Direito,Brasilia de Minas,RJ,8.41
20260031,Leticia Ramos Gomes Martins,36,Analise e Desenvolvimento de Sistemas,Januaria,ES,8.61
20260032,Alexandre Souza,21,Matematica,Vicosa,ES,9.5
20260033,Daniela Teixeira Ferreira,29,Engenharia Eletrica,Governador Valadares,MG,8.31
20260034,Helena Medeiros Lopes,55,Matematica,Januaria,ES,5.4
20260035,Thiago Moura Rocha,34,Analise e Desenvolvimento de Sistemas,Janauba,BA,6.3
20260036,Yasmin Freitas,38,Engenharia Eletrica,Montes Claros,RJ,8.04
20260037,Gabriel Rodrigues Cavalcanti,31,Agronomia,Porteirinha,BA,9.57
20260038,Rafaela Andrade Vieira Costa,46,Agronomia,Brasilia de Minas,ES,9.82
20260039,Camila Silva Monteiro Barbosa,24,Sistemas de Informacao,Porteirinha,MG,9.36
20260040,Juliana Fernandes Vieira Castro,31,Quimica,Janauba,BA,8.37
20260041,Rodrigo Ramos Soares Souza,23,Fisica,Uberlandia,DF,6.36
20260042,Igor Soares,28,Quimica,Juiz de Fora,ES,8.46
20260043,Helena Rodrigues Gomes,52,Ciencia da Computacao,Sao Francisco,ES,7.71
20260044,Carlos Barbosa Andrade,20,Medicina,Belo Horizonte,GO,6.22
20260045,Leticia Marques,27,Analise e Desenvolvimento de Sistemas,Teofilo Otoni,DF,8.97
20260046,Bruno Ribeiro Dias Marques,33,Engenharia de Software,Teofilo Otoni,DF,8.44
20260047,Carlos Cardoso Almeida,30,Direito,Sao Francisco,SP,9.02
20260048,Pedro Santos Martins Nunes,39,Engenharia de Software,Salinas,DF,6.37
20260049,Flavia Cavalcanti Dias,19,Engenharia Eletrica,Porteirinha,BA,7.84
20260050,Carlos Alves Castro Machado,40,Quimica,Janauba,RJ,7.97
20260051,Enzo Medeiros Martins,34,Ciencia da Computacao,Uberlandia,MG,7.55
20260052,Nicolas Andrade Machado Rodrigues,39,Matematica,Janauba,GO,9.16
20260053,Yasmin Teixeira Barbosa Marques,38,Administracao,Brasilia de Minas,ES,5.62
20260054,Enzo Ribeiro Brito,54,Engenharia de Software,Coronel Fabriciano,ES,9.09
20260055,Olivia Machado Pinto,38,Direito,Juiz de Fora,RJ,8.31
20260056,Lucas Ferreira Vieira,50,Fisica,Governador Valadares,SP,5.46
20260057,Rafaela Barbosa Almeida Martins,27,Ciencia da Computacao,Januaria,BA,9.82
20260058,Eduardo Freitas Marques,54,Analise e Desenvolvimento de Sistemas,Coronel Fabriciano,RJ,6.96
20260059,Ana Alves,45,Analise e Desenvolvimento de Sistemas,Teofilo Otoni,DF,9.69
20260060,Daniela Monteiro Lopes,25,Direito,Almenara,DF,7.28
20260061,Leticia Castro Rocha,46,Matematica,Lavras,RJ,9.07
20260062,Lucas Cardoso Mendes,34,Analise e Desenvolvimento de Sistemas,Porteirinha,DF,8.81
20260063,Rafaela Fernandes Mendes,22,Quimica,Brasilia de Minas,BA,6.33
20260064,Felipe Ferreira Lima,27,Analise e Desenvolvimento de Sistemas,Coronel Fabriciano,GO,5.75
20260065,Guilherme Marques Dias,52,Direito,Uberlandia,MG,6.01
20260066,Amanda Santos Medeiros,42,Direito,Montes Claros,SP,6.46
20260067,Guilherme Cavalcanti Cavalcanti,32,Direito,Diamantina,SP,7.14
20260068,Beatriz Nunes,28,Direito,Almenara,ES,7.62
20260069,Amanda Medeiros Santos Ferreira,45,Sistemas de Informacao,Juiz de Fora,BA,5.25
20260070,Olivia Freitas Rocha,39,Administracao,Porteirinha,DF,9.66
20260071,Fernanda Cardoso Santos,52,Ciencia da Computacao,Sao Francisco,BA,8.19
20260072,Carlos Santos Lopes Martins,19,Matematica,Almenara,BA,5.62
20260073,Thiago Carvalho Freitas,34,Medicina,Teofilo Otoni,ES,7.98
20260074,Helena Costa Barbosa Alves,55,Ciencia da Computacao,Brasilia de Minas,ES,8.32
20260075,Flavia Martins Rodrigues Pinto,33,Engenharia Eletrica,Brasilia de Minas,DF,8.35
20260076,Thiago Oliveira Nascimento Cavalcanti,45,Fisica,Sao Francisco,MG,7.48
20260077,Guilherme Ramos Alves,45,Medicina,Juiz de Fora,GO,5.75
20260078,Camila Fernandes,52,Direito,Juiz de Fora,RJ,9.05
20260079,Alexandre Lopes Ferreira,35,Direito,Diamantina,DF,7.28
20260080,Enzo Dias Santos,49,Medicina,Teofilo Otoni,RJ,6.04
20260081,Beatriz Fernandes Castro Fernandes,53,Ciencia da Computacao,Lavras,BA,5.42
20260082,Natalia Monteiro Lopes Cardoso,49,Direito,Montes Claros,MG,6.44
20260083,Rafaela Barbosa Pinto,41,Direito,Ouro Preto,ES,6.68
20260084,Leticia Dias Nascimento Freitas,35,Engenharia de Software,Porteirinha,BA,5.59
20260085,Helena Cavalcanti,29,Analise e Desenvolvimento de Sistemas,Belo Horizonte,GO,7.37
20260086,Camila Castro Vieira Alves,30,Engenharia de Software,Diamantina,SP,5.88
20260087,Felipe Lima,35,Ciencia da Computacao,Januaria,ES,6.43
20260088,Natalia Alves Silva Medeiros,36,Direito,Vicosa,RJ,6.67
20260089,Samuel Cardoso Pereira Rodrigues,43,Direito,Salinas,ES,8.08
20260090,Juliana Medeiros,37,Engenharia Eletrica,Diamantina,MG,7.73
20260091,Gustavo Brito Almeida,51,Administracao,Juiz de Fora,RJ,6.46
20260092,Isabela Barbosa Medeiros,21,Matematica,Pirapora,DF,6.02
20260093,Fernanda Costa Lopes,29,Agronomia,Salinas,BA,5.01
20260094,Gustavo Cardoso Vieira,20,Analise e Desenvolvimento de Sistemas,Brasilia de Minas,GO,6.39
20260095,Eduardo Almeida Soares Pinto,30,Administracao,Pirapora,ES,6.1
20260096,Tatiana Gomes,22,Ciencia da Computacao,Teofilo Otoni,DF,6.51
20260097,Thiago Vieira Mendes Pereira,47,Quimica,Brasilia de Minas,GO,6.97
20260098,Felipe Ramos Mendes,23,Matematica,Januaria,RJ,8.6
20260099,Bruno Ferreira Almeida,54,Matematica,Montes Claros,DF,8.29
20260100,Carlos Ribeiro Cardoso,51,Fisica,Juiz de Fora,SP,5.89
20260101,Natalia Ferreira Cardoso,40,Administracao,Janauba,SP,8.28
20260102,Beatriz Marques Ramos Vieira,43,Agronomia,Januaria,RJ,5.43
20260103,Helena Nunes Teixeira,18,Fisica,Ouro Preto,RJ,7.02
20260104,Debora Brito,49,Fisica,Juiz de Fora,DF,5.25
20260105,Igor Vieira Mendes,49,Engenharia Eletrica,Montes Claros,GO,7.98
20260106,Lucas Barbosa Monteiro,18,Agronomia,Uberlandia,MG,6.1
20260107,Helena Freitas Pereira Gomes,49,Quimica,Brasilia de Minas,ES,8.46
20260108,Matheus Cardoso Lopes,47,Agronomia,Almenara,RJ,5.93
20260109,Igor Rodrigues Fernandes,44,Medicina,Lavras,SP,9.02
20260110,Yasmin Pinto Pinto,49,Sistemas de Informacao,Juiz de Fora,ES,7.37
20260111,Felipe Moreira Freitas,38,Analise e Desenvolvimento de Sistemas,Diamantina,ES,6.88
20260112,Guilherme Oliveira Rocha Cardoso,42,Administracao,Almenara,RJ,9.73
20260113,Amanda Dias,24,Direito,Pirapora,ES,9.46
20260114,Juliana Marques,27,Engenharia Eletrica,Vicosa,DF,9.75
20260115,Flavia Ferreira Dias,52,Administracao,Janauba,GO,8.52
20260116,Felipe Oliveira Brito Rodrigues,33,Fisica,Brasilia de Minas,BA,8.66
20260117,Gabriel Alves Mendes,28,Quimica,Brasilia de Minas,MG,5.23
20260118,Vinicius Nascimento Andrade Machado,27,Analise e Desenvolvimento de Sistemas,Lavras,RJ,7.77
20260119,Lucas Ribeiro Ferreira Brito,42,Matematica,Diamantina,RJ,9.47
20260120,Larissa Soares,47,Engenharia de Software,Montes Claros,DF,7.28
20260121,Felipe Costa Rodrigues,46,Medicina,Curvelo,SP,8.13
20260122,Samuel Freitas Barbosa,30,Administracao,Vicosa,MG,6.16
20260123,Thiago Vieira Vieira,19,Fisica,Coronel Fabriciano,SP,5.04
20260124,Daniela Castro Ramos Vieira,32,Matematica,Sao Francisco,BA,8.12
20260125,Igor Alves Oliveira,37,Direito,Januaria,ES,6.79
20260126,Vinicius Rocha,44,Sistemas de Informacao,Belo Horizonte,BA,8.85
20260127,Debora Moura Teixeira Fernandes,28,Engenharia de Software,Vicosa,DF,6.45
20260128,Helena Freitas Rodrigues Gomes,32,Fisica,Coronel Fabriciano,DF,8.94
20260129,Flavia Silva Soares,52,Engenharia Eletrica,Juiz de Fora,SP,8.3
20260130,Amanda Moreira Andrade,24,Fisica,Diamantina,RJ,5.12
20260131,Leticia Rocha Brito Almeida,22,Fisica,Juiz de Fora,GO,6.48
20260132,Igor Oliveira Oliveira,37,Direito,Pirapora,MG,6.15
20260133,Enzo Freitas Andrade,52,Administracao,Curvelo,GO,8.56
20260134,Gabriel Ramos Brito Marques,35,Ciencia da Computacao,Sao Francisco,BA,7.17
20260135,Debora Alves Andrade Cavalcanti,40,Ciencia da Computacao,Coronel Fabriciano,SP,5.93
20260136,Larissa Ferreira,31,Fisica,Governador Valadares,MG,5.25
20260137,Igor Medeiros Carvalho,22,Agronomia,Belo Horizonte,ES,6.06
20260138,Beatriz Gomes Castro Silva,35,Sistemas de Informacao,Almenara,ES,6.23
20260139,Bruno Lima,18,Medicina,Diamantina,ES,6.59
20260140,Daniela Lima,44,Agronomia,Pirapora,GO,5.31
20260141,Debora Teixeira Pinto,24,Direito,Lavras,BA,9.63
20260142,Camila Barbosa,47,Fisica,Montes Claros,MG,9.89
20260143,Isabela Alves Ramos Mendes,22,Engenharia Eletrica,Janauba,ES,5.73
20260144,Luana Pinto,53,Quimica,Janauba,RJ,9.87
20260145,Larissa Teixeira Castro,45,Engenharia Eletrica,Pirapora,DF,8.21
20260146,Leticia Carvalho Machado Mendes,32,Administracao,Janauba,DF,7.22
20260147,Gabriel Rocha Machado,38,Fisica,Porteirinha,SP,9.67
20260148,Matheus Rodrigues Ferreira,23,Engenharia Eletrica,Uberlandia,MG,8.65
20260149,Igor Monteiro Souza,55,Agronomia,Ouro Preto,SP,8.28
20260150,Isabela Souza Vieira,37,Medicina,Pirapora,ES,7.49
20260151,Matheus Almeida,24,Medicina,Ouro Preto,SP,5.56
20260152,Pedro Machado Monteiro,53,Ciencia da Computacao,Governador Valadares,GO,9.06
20260153,Mariana Fernandes Barbosa,39,Medicina,Montes Claros,BA,9.26
20260154,Flavia Rodrigues Gomes,19,Engenharia Eletrica,Lavras,BA,6.84
20260155,Lucas Andrade Barbosa,38,Matematica,Governador Valadares,MG,9.33
20260156,Luana Souza,23,Engenharia de Software,Juiz de Fora,GO,7.08
20260157,Guilherme Fernandes Carvalho,50,Engenharia Eletrica,Sao Francisco,RJ,5.54
20260158,Amanda Ramos Moura,37,Ciencia da Computacao,Diamantina,RJ,9.82
20260159,Olivia Barbosa,31,Sistemas de Informacao,Porteirinha,SP,6.61
20260160,Isabela Ribeiro,26,Administracao,Ouro Preto,GO,6.13
20260161,Caio Rodrigues Nunes,20,Administracao,Montes Claros,RJ,9.51
20260162,Thiago Machado Medeiros Nunes,44,Engenharia de Software,Pirapora,RJ,5.1
20260163,Luana Freitas Andrade,23,Administracao,Pirapora,BA,7.13
20260164,Fernanda Nunes Barbosa,39,Analise e Desenvolvimento de Sistemas,Janauba,DF,5.82
20260165,Helena Moura Teixeira,30,Medicina,Sao Francisco,GO,9.7
20260166,Juliana Lopes Alves,27,Engenharia de Software,Belo Horizonte,BA,7.95
20260167,Eduardo Ribeiro Ramos Freitas,54,Matematica,Juiz de Fora,GO,9.53
20260168,Luana Rocha Rocha,27,Direito,Salinas,RJ,7.17
20260169,Tatiana Pinto Souza,40,Agronomia,Salinas,SP,7.26
20260170,Debora Vieira,22,Fisica,Salinas,ES,7.91
20260171,Amanda Monteiro Oliveira,46,Matematica,Belo Horizonte,SP,7.96
20260172,Daniela Mendes Alves,39,Quimica,Salinas,ES,8.17
20260173,Joao Mendes,51,Agronomia,Governador Valadares,BA,6.78
20260174,Enzo Marques Dias Castro,21,Fisica,Janauba,MG,6.62
20260175,Enzo Vieira Soares,27,Medicina,Salinas,ES,8.25
20260176,Yasmin Nunes Lima Castro,23,Engenharia de Software,Ouro Preto,RJ,8.15
20260177,Igor Moura Ferreira,45,Agronomia,Sao Francisco,MG,6.78
20260178,Olivia Dias,49,Analise e Desenvolvimento de Sistemas,Diamantina,BA,5.76
20260179,Gabriel Teixeira Cavalcanti,51,Ciencia da Computacao,Janauba,DF,8.03
20260180,Juliana Costa Ribeiro,28,Quimica,Juiz de Fora,MG,7.01
20260181,Rafaela Mendes Brito,36,Quimica,Juiz de Fora,BA,7.62
20260182,Matheus Martins Andrade,54,Direito,Juiz de Fora,DF,6.38
20260183,Camila Marques Costa,30,Matematica,Almenara,DF,6.23
20260184,Debora Monteiro Alves,51,Engenharia Eletrica,Brasilia de Minas,MG,8.74
20260185,Rodrigo Gomes Machado,23,Analise e Desenvolvimento de Sistemas,Juiz de Fora,SP,9.56
20260186,Flavia Teixeira Andrade,33,Administracao,Salinas,SP,6.1
20260187,Gabriel Dias Gomes,26,Ciencia da Computacao,Brasilia de Minas,DF,7.32
20260188,Matheus Mendes Brito Silva,23,Ciencia da Computacao,Porteirinha,BA,9.09
20260189,Gustavo Moura Machado,25,Engenharia de Software,Diamantina,SP,5.6
20260190,Luana Freitas Rodrigues,25,Direito,Governador Valadares,ES,5.08
20260191,Rafaela Gomes Vieira,45,Ciencia da Computacao,Governador Valadares,SP,6.18
20260192,Fernanda Moura Andrade,22,Agronomia,Ouro Preto,ES,8.85
20260193,Bruno Moreira Cardoso,20,Fisica,Coronel Fabriciano,SP,6.24
20260194,Eduardo Nascimento,33,Quimica,Pirapora,DF,7.85
20260195,Igor Oliveira Nascimento Cavalcanti,39,Fisica,Teofilo Otoni,DF,8.82
20260196,Matheus Ribeiro Lima,22,Quimica,Juiz de Fora,MG,6.44
20260197,Nicolas Oliveira,38,Engenharia de Software,Lavras,RJ,9.85
20260198,Samuel Oliveira Martins,36,Medicina,Januaria,DF,8.21
20260199,Debora Machado Nunes,46,Administracao,Janauba,BA,7.43
20260200,Camila Fernandes Ferreira,45,Engenharia Eletrica,Uberlandia,ES,9.88
20260201,Vinicius Rocha,24,Engenharia Eletrica,Janauba,GO,6.45
20260202,Isabela Costa Mendes,40,Direito,Januaria,GO,9.26
20260203,Isabela Fernandes Souza,22,Fisica,Coronel Fabriciano,SP,7.51
20260204,Lucas Santos Gomes Castro,46,Ciencia da Computacao,Almenara,MG,6.16
20260205,Debora Moreira Medeiros,20,Matematica,Almenara,GO,7.2
20260206,Joao Rodrigues Medeiros,26,Agronomia,Sao Francisco,RJ,6.54
20260207,Helena Santos Ribeiro,49,Agronomia,Coronel Fabriciano,ES,5.58
20260208,Joao Carvalho Brito Vieira,49,Analise e Desenvolvimento de Sistemas,Pirapora,BA,9.18
20260209,Joao Ferreira Rocha,40,Quimica,Salinas,ES,7.66
20260210,Lucas Ribeiro Andrade Teixeira,32,Engenharia Eletrica,Belo Horizonte,DF,5.68
20260211,Bruno Andrade Monteiro Medeiros,41,Direito,Ouro Preto,BA,8.0
20260212,Yasmin Nunes,48,Agronomia,Uberlandia,DF,7.01
20260213,Igor Rocha Rodrigues,46,Direito,Lavras,SP,5.63
20260214,Leticia Pinto Ribeiro Lima,45,Agronomia,Januaria,DF,5.61
20260215,Lucas Costa,38,Quimica,Diamantina,SP,9.64
20260216,Vinicius Ferreira Soares,30,Fisica,Ouro Preto,SP,5.61
20260217,Felipe Ferreira Teixeira,28,Matematica,Curvelo,BA,5.84
20260218,Gustavo Dias Medeiros,20,Ciencia da Computacao,Salinas,MG,9.65
20260219,Samuel Carvalho Medeiros Marques,19,Direito,Ouro Preto,SP,8.15
20260220,Rafaela Nunes Barbosa,47,Engenharia Eletrica,Januaria,BA,7.15
20260221,Olivia Dias Castro,27,Medicina,Janauba,GO,9.84
20260222,Flavia Lima Andrade,50,Agronomia,Pirapora,SP,6.18
20260223,Joao Lopes,27,Engenharia Eletrica,Januaria,SP,9.63
20260224,Guilherme Lopes Costa Rocha,54,Quimica,Janauba,BA,8.74
20260225,Rodrigo Freitas Ramos,37,Direito,Montes Claros,MG,9.63
20260226,Rafaela Carvalho Pinto,40,Ciencia da Computacao,Januaria,SP,7.42
20260227,Matheus Vieira Cavalcanti Silva,24,Administracao,Almenara,SP,8.56
20260228,Debora Oliveira Nunes Souza,54,Agronomia,Belo Horizonte,SP,7.71
20260229,Rodrigo Mendes,53,Engenharia de Software,Governador Valadares,GO,7.99
20260230,Gabriel Nunes,41,Medicina,Ouro Preto,SP,8.7
20260231,Rodrigo Nunes,50,Ciencia da Computacao,Januaria,MG,5.67
20260232,Matheus Moura Freitas,27,Matematica,Lavras,BA,6.61
20260233,Lucas Nunes Brito,37,Matematica,Janauba,ES,9.06
20260234,Thiago Barbosa Cardoso,19,Medicina,Janauba,GO,5.54
20260235,Yasmin Santos Castro,48,Engenharia de Software,Curvelo,ES,6.11
20260236,Matheus Costa,51,Fisica,Governador Valadares,DF,9.12
20260237,Rafaela Oliveira,54,Quimica,Pirapora,BA,5.09
20260238,Juliana Marques Carvalho,44,Agronomia,Governador Valadares,RJ,9.28
20260239,Daniela Lima Moura Carvalho,53,Medicina,Vicosa,ES,6.85
20260240,Larissa Cavalcanti Dias Cavalcanti,40,Fisica,Porteirinha,ES,7.37
20260241,Tatiana Monteiro Barbosa Almeida,37,Engenharia de Software,Belo Horizonte,GO,8.45
20260242,Caio Monteiro Fernandes,36,Engenharia Eletrica,Curvelo,GO,7.66
20260243,Flavia Nascimento Gomes Vieira,20,Engenharia de Software,Salinas,SP,9.53
20260244,Matheus Carvalho Martins,52,Engenharia de Software,Ouro Preto,GO,6.33
20260245,Amanda Lopes,33,Ciencia da Computacao,Lavras,BA,8.13
20260246,Guilherme Dias,48,Engenharia Eletrica,Almenara,MG,9.73
20260247,Lucas Marques Cardoso Cardoso,30,Engenharia de Software,Janauba,SP,8.16
20260248,Fernanda Medeiros Almeida Cavalcanti,20,Sistemas de Informacao,Uberlandia,DF,5.86
20260249,Flavia Ramos Ribeiro Vieira,20,Ciencia da Computacao,Brasilia de Minas,ES,7.95
20260250,Beatriz Vieira Freitas Cavalcanti,51,Direito,Almenara,DF,7.47
20260251,Helena Dias Costa,47,Fisica,Porteirinha,GO,5.91
20260252,Vinicius Medeiros Martins Ribeiro,43,Administracao,Lavras,SP,5.43
20260253,Mariana Lima Cardoso,38,Analise e Desenvolvimento de Sistemas,Montes Claros,SP,6.88
20260254,Tatiana Dias Barbosa,55,Quimica,Curvelo,MG,6.28
20260255,Rafaela Souza Pereira,47,Engenharia de Software,Teofilo Otoni,RJ,8.36
20260256,Yasmin Pereira Vieira Andrade,32,Analise e Desenvolvimento de Sistemas,Almenara,RJ,5.75
20260257,Gustavo Andrade Marques Monteiro,48,Agronomia,Belo Horizonte,DF,6.21
20260258,Fernanda Moura Mendes Moura,41,Engenharia Eletrica,Curvelo,MG,5.3
20260259,Rodrigo Martins Medeiros,52,Sistemas de Informacao,Teofilo Otoni,SP,9.19
20260260,Olivia Pinto Ramos,23,Agronomia,Juiz de Fora,DF,5.27
20260261,Guilherme Freitas,54,Ciencia da Computacao,Ouro Preto,RJ,8.3
20260262,Bruno Nunes Soares,18,Quimica,Belo Horizonte,ES,5.36
20260263,Eduardo Cavalcanti Souza,22,Direito,Januaria,SP,7.0
20260264,Guilherme Andrade Moreira Mendes,42,Administracao,Salinas,GO,9.72
20260265,Igor Nascimento Pereira Ribeiro,52,Administracao,Lavras,BA,8.57
20260266,Ana Santos Barbosa,47,Fisica,Ouro Preto,RJ,7.61
20260267,Rafaela Freitas Nascimento Gomes,35,Analise e Desenvolvimento de Sistemas,Pirapora,MG,8.97
20260268,Bruno Lopes Carvalho,22,Engenharia Eletrica,Governador Valadares,MG,7.19
20260269,Daniela Lopes Oliveira,43,Direito,Diamantina,ES,6.06
20260270,Daniela Lima Teixeira Vieira,32,Quimica,Curvelo,SP,7.83
20260271,Alexandre Lopes Barbosa Gomes,51,Analise e Desenvolvimento de Sistemas,Uberlandia,SP,6.35
20260272,Amanda Ribeiro Machado,53,Direito,Januaria,SP,9.61
20260273,Camila Rocha Marques,44,Sistemas de Informacao,Brasilia de Minas,RJ,5.9
20260274,Rafaela Almeida Barbosa,27,Direito,Januaria,ES,7.02
20260275,Camila Lima Moreira,33,Engenharia de Software,Belo Horizonte,SP,8.17
20260276,Debora Ferreira Cavalcanti Martins,21,Engenharia de Software,Coronel Fabriciano,GO,7.96
20260277,Eduardo Martins,55,Quimica,Ouro Preto,BA,7.35
20260278,Beatriz Barbosa Silva Carvalho,30,Quimica,Pirapora,GO,9.9
20260279,Rafaela Castro Carvalho,43,Analise e Desenvolvimento de Sistemas,Ouro Preto,SP,8.8
20260280,Felipe Nascimento Barbosa,34,Medicina,Lavras,RJ,7.28
20260281,Matheus Rocha Carvalho Andrade,38,Administracao,Januaria,ES,9.23
20260282,Bruno Soares Monteiro Pinto,55,Quimica,Uberlandia,SP,5.75
20260283,Enzo Medeiros Lopes,49,Agronomia,Janauba,SP,8.74
20260284,Natalia Freitas Costa,40,Sistemas de Informacao,Almenara,GO,7.68
20260285,Felipe Souza,51,Ciencia da Computacao,Salinas,DF,8.27
20260286,Guilherme Lima Almeida Rodrigues,27,Ciencia da Computacao,Belo Horizonte,ES,7.23
20260287,Luana Cardoso,49,Ciencia da Computacao,Montes Claros,ES,7.7
20260288,Camila Fernandes,52,Engenharia de Software,Montes Claros,ES,8.98
20260289,Mariana Alves Alves,51,Sistemas de Informacao,Diamantina,BA,8.04
20260290,Caio Fernandes Nunes,23,Medicina,Coronel Fabriciano,RJ,7.77
20260291,Pedro Barbosa Ferreira Oliveira,23,Administracao,Coronel Fabriciano,RJ,7.71
20260292,Ana Costa,23,Direito,Uberlandia,GO,8.84
20260293,Gabriel Moura Oliveira,32,Analise e Desenvolvimento de Sistemas,Curvelo,RJ,6.33
20260294,Tatiana Cavalcanti Medeiros Oliveira,29,Medicina,Montes Claros,BA,7.88
20260295,Flavia Rodrigues Barbosa Costa,54,Analise e Desenvolvimento de Sistemas,Curvelo,DF,9.16
20260296,Felipe Dias Moreira,26,Quimica,Salinas,ES,8.65
20260297,Gabriel Machado Almeida,22,Medicina,Governador Valadares,DF,8.01
20260298,Alexandre Santos Fernandes,46,Direito,Diamantina,SP,7.71
20260299,Mariana Pinto Moreira,23,Matematica,Brasilia de Minas,DF,6.21
20260300,Tatiana Gomes,42,Quimica,Almenara,GO,6.91
20260301,Fernanda Silva Barbosa,46,Medicina,Porteirinha,MG,5.65
20260302,Joao Monteiro,53,Agronomia,Uberlandia,MG,5.13
20260303,Fernanda Castro Castro,38,Administracao,Montes Claros,SP,7.03
20260304,Leticia Lopes Medeiros Moura,28,Fisica,Coronel Fabriciano,BA,5.68
20260305,Natalia Gomes Rodrigues,28,Administracao,Porteirinha,RJ,6.47
20260306,Debora Soares Lopes Ramos,30,Direito,Pirapora,BA,6.49
20260307,Beatriz Brito Moreira Dias,46,Medicina,Uberlandia,DF,9.04
20260308,Gustavo Lima Barbosa,38,Matematica,Belo Horizonte,RJ,6.54
20260309,Alexandre Vieira Ramos Medeiros,33,Medicina,Coronel Fabriciano,SP,9.0
20260310,Helena Medeiros Martins,55,Agronomia,Teofilo Otoni,GO,8.76
20260311,Larissa Carvalho,46,Engenharia de Software,Salinas,DF,9.15
20260312,Natalia Lima Barbosa Lopes,34,Fisica,Almenara,GO,7.07
20260313,Joao Castro Cardoso,55,Administracao,Ouro Preto,ES,9.53
20260314,Guilherme Cavalcanti Oliveira Andrade,52,Matematica,Salinas,MG,8.77
20260315,Caio Costa Brito,20,Matematica,Coronel Fabriciano,DF,6.62
20260316,Gabriel Silva Alves Soares,32,Agronomia,Lavras,ES,7.84
20260317,Joao Andrade Nunes,47,Fisica,Curvelo,GO,7.45
20260318,Bruno Cardoso Alves,36,Administracao,Salinas,MG,9.07
20260319,Caio Barbosa Dias Freitas,31,Agronomia,Vicosa,SP,7.33
20260320,Joao Rocha Rodrigues,37,Ciencia da Computacao,Pirapora,MG,9.16
20260321,Lucas Lopes Moura,29,Agronomia,Teofilo Otoni,SP,7.74
20260322,Pedro Nunes Ribeiro Ribeiro,45,Administracao,Montes Claros,GO,8.01
20260323,Amanda Machado,42,Ciencia da Computacao,Belo Horizonte,BA,6.36
20260324,Eduardo Medeiros Alves Cavalcanti,29,Medicina,Janauba,BA,7.24
20260325,Natalia Moura Rocha,42,Matematica,Coronel Fabriciano,ES,5.56
20260326,Larissa Brito Ribeiro,37,Matematica,Curvelo,MG,8.29
20260327,Rafaela Barbosa Pereira,29,Medicina,Almenara,ES,6.9
20260328,Thiago Moreira Machado,29,Direito,Ouro Preto,GO,9.5
20260329,Mariana Monteiro Costa Ramos,36,Sistemas de Informacao,Teofilo Otoni,SP,9.13
20260330,Caio Silva Ramos,26,Analise e Desenvolvimento de Sistemas,Coronel Fabriciano,ES,7.48
20260331,Natalia Marques Mendes,49,Sistemas de Informacao,Salinas,ES,5.15
20260332,Vinicius Oliveira Fernandes Almeida,52,Engenharia de Software,Teofilo Otoni,DF,7.24
